fips,countyfull,countyonly,state,region
06001,Alameda CA,Alameda,CA,northern
06003,Alpine CA,Alpine,CA,northern
06005,Amador CA,Amador,CA,northern
06007,Butte CA,Butte,CA,northern
06009,Calaveras CA,Calaveras,CA,northern
06011,Colusa CA,Colusa,CA,northern
06013,Contra Costa CA,Contra Costa,CA,northern
06015,Del Norte CA,Del Norte,CA,northern
06017,El Dorado CA,El Dorado,CA,northern
06019,Fresno CA,Fresno,CA,northern
06021,Glenn CA,Glenn,CA,northern
06023,Humboldt CA,Humboldt,CA,northern
06025,Imperial CA,Imperial,CA,southern
06027,Inyo CA,Inyo,CA,northern
06029,Kern CA,Kern,CA,southern
06031,Kings CA,Kings,CA,northern
06033,Lake CA,Lake,CA,northern
06035,Lassen CA,Lassen,CA,northern
06037,Los Angeles CA,Los Angeles,CA,southern
06039,Madera CA,Madera,CA,northern
06041,Marin CA,Marin,CA,northern
06043,Mariposa CA,Mariposa,CA,northern
06045,Mendocino CA,Mendocino,CA,northern
06047,Merced CA,Merced,CA,northern
06049,Modoc CA,Modoc,CA,northern
06051,Mono CA,Mono,CA,northern
06053,Monterey CA,Monterey,CA,northern
06055,Napa CA,Napa,CA,northern
06057,Nevada CA,Nevada,CA,northern
06059,Orange CA,Orange,CA,southern
06061,Placer CA,Placer,CA,northern
06063,Plumas CA,Plumas,CA,northern
06065,Riverside CA,Riverside,CA,southern
06067,Sacramento CA,Sacramento,CA,northern
06069,San Benito CA,San Benito,CA,northern
06071,San Bernardino CA,San Bernardino,CA,southern
06073,San Diego CA,San Diego,CA,southern
06075,San Francisco CA,San Francisco,CA,northern
06077,San Joaquin CA,San Joaquin,CA,northern
06079,San Luis Obispo CA,San Luis Obispo,CA,southern
06081,San Mateo CA,San Mateo,CA,northern
06083,Santa Barbara CA,Santa Barbara,CA,southern
06085,Santa Clara CA,Santa Clara,CA,northern
06087,Santa Cruz CA,Santa Cruz,CA,northern
06089,Shasta CA,Shasta,CA,northern
06091,Sierra CA,Sierra,CA,northern
06093,Siskiyou CA,Siskiyou,CA,northern
06095,Solano CA,Solano,CA,northern
06097,Sonoma CA,Sonoma,CA,northern
06099,Stanislaus CA,Stanislaus,CA,northern
06101,Sutter CA,Sutter,CA,northern
06103,Tehama CA,Tehama,CA,northern
06105,Trinity CA,Trinity,CA,northern
06107,Tulare CA,Tulare,CA,northern
06109,Tuolumne CA,Tuolumne,CA,northern
06111,Ventura CA,Ventura,CA,southern
06113,Yolo CA,Yolo,CA,northern
06115,Yuba CA,Yuba,CA,northern
